AI CYBERATTACK,DATE ARTICLE,DESCRIPTION (ABSTRACT),KEYWORDS (5 ),SECTOR,SOURCE  URL,THREAT ACTOR,TITLE,TYPE OF INCIDENT
No,14/12/2023,"A new Linux malware, NKAbuse, is a multi-platform threat that uses the NKN blockchain for stealthy communication, making it difficult to detect. It functions as both a flooder and a backdoor, stealing data and launching DDoS attacks on Linux systems.","NKAbuse, Linux, Blockchain, Malware, DDoS","Information, Communication And Digital",https://hackread.com/nkabuse-linux-malware-blockchain-technology/,NKAbuse,New 'NKAbuse' Linux Malware Uses Blockchain Technology to Spread,Malware
No,14/2/2024,"The Glupteba botnet enhanced its persistence capabilities by integrating a UEFI bootkit, allowing it to embed itself in the EFI system partition and execute before Windows boots. This low-level implant disables driver signature enforcement and PatchGuard, running stealthily in a privileged firmware position. Previously, Glupteba relied on kernel driver manipulation using tools like DSEFix and UPGDSED to evade detection. Now, with the UEFI bootkit facilitated by EfiGuard, it achieves even more robust and stealthy persistence across reboots. Experts warn that once installed, the bootkit is extremely challenging to detect and remove.","Glupteba, UEFI bootkit, firmware implant, persistence, EfiGuard",Others,https://www.darkreading.com/threat-intelligence/glupteba-botnet-burrows-windows-systems-new-uefi-bootkit,Glupteba,Glupteba Botnet Adds UEFI Bootkit to Cyberattack Toolbox,Botnet
No,14/3/2022,"Attackers distributed fake antivirus software updates to Ukrainian organizations in order to deploy Cobalt Strike beacons. The campaign provided adversaries with remote access, persistence, and staging capabilities for further attacks. Security researchers linked the activity to wider cyber operations against Ukraine amid geopolitical tensions. By abusing trust in security software, the attackers effectively bypassed defenses. This case underscores the risks of social engineering and malicious update channels in cyber warfare.","Ukraine, fake antivirus updates, Cobalt Strike, malware campaign, cyber warfare",Government,https://www.bleepingcomputer.com/news/security/fake-antivirus-updates-used-to-deploy-cobalt-strike-in-ukraine/,Cobalt Strike,Fake antivirus updates used to deploy Cobalt Strike in Ukraine,Malware
No,14/3/2025,"The Black Basta ransomware group developed an automated brute-forcing framework called BRUTED that targets internet-exposed edge devices such as VPNs and firewalls. Researchers uncovered it by analyzing the gangâ€™s leaked internal chat logs. The tool has been in use since 2023 and enables large-scale credential stuffing attacks across VPN platforms. It specifically targets popular VPN and remote-access products including SonicWall, Palo Alto GlobalProtect, Cisco AnyConnect, Fortinet SSL VPN, Citrix NetScaler, Microsoft RDWeb, and WatchGuard SSL VPN. BRUTED scans for devices via subdomain enumeration, uses SSL certificate data to generate password guesses, and hides its infrastructure behind SOCKS5 proxies hosted in Russia.",Black Basta; BRUTED; automated brute-force; VPN credential stuffing; edge device compromise,Others,https://www.bleepingcomputer.com/news/security/black-basta-ransomware-creates-automated-tool-to-brute-force-vpns/,Black Basta,Ransomware gang creates tool to automate VPN brute-force attacks,Ransomware
No,14/3/2025,"Trend Micro identifies SocGholishâ€™s MaaS framework facilitating RansomHub ransomware deployment through compromised websites. The intrusion chain, named Water Scylla, involves collaboration with malicious Keitaro TDS operators. Obfuscated JavaScript loaders are used to evade detection and deliver payloads. As of early 2025, the highest detection rates of SocGholish are in the United States. Government organizations are among the most impacted.",SocGholish; RansomHub; MaaS framework; JavaScript loader; Keitaro TDS,Government,https://www.trendmicro.com/en_us/research/25/c/socgholishs-intrusion-techniques-facilitate-distribution-of-rans.html,SocGholish,SocGholishâ€™s Intrusion Techniques Facilitate Distribution of RansomHub Ransomware,Ransomware
No,14/5/2024,Microsoft addressed a critical Windows zero-day vulnerability (CVE-2024-30051) exploited by QakBot and other malware to gain SYSTEM privileges and deploy additional malicious payloads.,"Microsoft, Zero-day, QakBot, Privilege escalation, Malware",Others,https://www.bleepingcomputer.com/news/microsoft/microsoft-fixes-windows-zero-day-exploited-in-qakbot-malware-attacks/,QakBot,Microsoft fixes Windows zero-day exploited in QakBot malware attacks,Others
No,14/5/2024,"Threat actors leveraged the Phorpiex botnet to send millions of phishing emails containing ZIP attachments that deployed LockBit Black ransomware, with over 1,500 unique IPs involved and global targeting.","Phorpiex, LockBit, Phishing, Ransomware, Botnet",Government,https://securityaffairs.com/163109/malware/phorpiex-botnet-lockbit-black-ransomware.html,Phorpiex,Phorpiex botnet sent millions of phishing emails to deliver LockBit Black ransomware,Ransomware
No,14/5/2025,"At least two cybercrime groups, BianLian and RansomExx, exploited a critical SAP NetWeaver vulnerability (CVE-2025-31324) to deploy the PipeMagic Trojan. ReliaQuest attributed these exploits based on known infrastructure, including C2 server IPs tied to those groups. The attackers used web shells and, in some cases, the Brute Ratel C2 framework via inline MSBuild execution. The activity highlights a broader wave of exploitation of SAP NetWeaver flaws, including chained vulnerabilities like CVE-2025-42999. The incidents underscore the urgent need for SAP patches and monitoring of exposed systems.","BianLian, RansomExx, PipeMagic, CVE-2025-31324, web shell","Information, Communication And Digital",https://thehackernews.com/2025/05/bianlian-and-ransomexx-exploit-sap.html,RansomEXX,BianLian and RansomExx Exploit SAP NetWeaver Flaw to Deploy PipeMagic Trojan,Ransomware
No,14/5/2025,"Google warned that hackers deploying Scattered Spider tacticssuch as ransomware and extortionare now targeting U.S. retail chains after previously attacking retailers in the U.K. Authorities suspect the group UNC3944 (also known as Scattered Spider) is behind these operations. Their modus operandi typically focuses on one sector at a time, prompting U.S. retailers to be vigilant. Earlier victims in the U.K. include Marks & Spencer, where virtual machines were encrypted using DragonForce ransomware as part of the attack. Other British retailers like Co-op and Harrods also reported cyber incidents involving data theft or intrusion attempts linked to these same tactics.",Scattered Spider; UNC3944; ransomware; U.S. retail; DragonForce,"Trade, Industry And Economy",https://www.bleepingcomputer.com/news/security/google-scattered-spider-switches-targets-to-us-retail-chains//,Scattered Spider,Hackers behind UK retail attacks now targeting US companies,Ransomware
No,14/5/2025,"Samsung released patches to address CVE-2025-4632, a path traversal flaw in MagicINFO 9 Server that allowed attackers to write arbitrary files as system authority. The flaw, with a CVSS score of 9.8, was actively exploited after a PoC was released on April 30, 2025, and had been used to deploy the Mirai botnet. It was identified as a separate issue from the previously patched CVE-2024-7399. Huntress found exploitation cases on version 21.1050.0, indicating patching hadnâ€™t fully resolved the vulnerability. CISA added CVE-2025-4632 to its KEV catalog on May 22, 2025, requiring federal agencies to mitigate it by June 12.","CVE-2025-4632, Samsung patch, MagicINFO 9, path traversal, Mirai","Information, Communication And Digital",https://thehackernews.com/2025/05/samsung-patches-cve-2025-4632-used-to.html,Mirai,Samsung patches CVE-2025-4632 used to deploy Mirai botnet via MagicINFO 9 exploit,Others
No,14/8/2024,A sophisticated cyber covert operation dubbed EastWindâ€ is employing tools from multiple China-sponsored APTs to extend espionage capabilities.,"EastWind, APT31, APT27, CloudSorcerer, GrewApacha",Government,https://www.darkreading.com/cyberattacks-data-breaches/eastwind-cyber-spy-campaign-chinese-apt-tools,EastWind,â€˜EastWindâ€™ Cyberâ€Spy Campaign Combines Various Chinese APT Tools,Others
No,15/11/2021,"Emotet has resurfaced following its dismantling earlier in 2021, now leveraging TrickBot-infected machines to drop fresh Emotet loader samples. Security researchers note the expanded command set and new execution options in the loader, signaling a more sophisticated botnet infrastructure. The reboot underscores that law enforcement's previous takedown did not prevent adversaries from rebuilding backend systems using available malware builders. Administrators are urged to block known Emotet command-and-control (C2) servers to mitigate the threat. The article highlights the ongoing cat-and-mouse dynamic in cybercrime infrastructure, with botnets continually evolving despite enforcement actions.","Emotet resurgence, Trickbot dropper, Botnet rebuilding, Multi-stage malware, C2 infrastructure","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/emotet-malware-is-back-and-rebuilding-its-botnet-via-trickbot/,Emotet,Emotet malware is back and rebuilding its botnet via TrickBot,Malware
No,15/11/2022,"The Billbug APT (aka Thrip, Lotus Blossom, Spring Dragon) has run a long-term stealth campaign targeting a certificate authority, government agencies, and defense organizations across multiple Asian countries. The group has been active for over a decade and combines living-off-the-land tools (e.g., AdFind, Winmail, WinRAR, Ping, Tracert, Route, NBTscan, Certutil, Port Scanner) with custom backdoors Hannotog and Sagerunex. Hannotog enables persistence, firewall modification, encrypted data uploads, command execution, and downloading files; it drops Sagerunex, which injects into explorer.exe, logs AES-encrypted data, stores RC4-encrypted config, communicates via HTTPS with C2, and executes runexe/rundll commands. The campaignâ€™s continued use of the same backdoors over years demonstrates remarkable operational consistency. Symantec attributed the activity to Billbug based on reuse of these custom backdoors.","Billbug, Hannotog, Sagerunex, living-off-the-land tools, certificate authority",Government,https://www.bleepingcomputer.com/news/security/chinese-hackers-target-government-agencies-and-defense-orgs/,Lotus Blossom,Chinese hackers target government agencies and defense orgs,Others
No,15/12/2021,"Researchers observed Emotet malware resuming the delivery of Cobalt Strike payloads to accelerate follow-on attacks. Cobalt Strike beacons provide attackers with tools for lateral movement, credential theft, and ransomware deployment. The return of this tactic increases the speed and effectiveness of Emotet-based compromises. Organizations across industries face elevated risk as Emotet remains one of the most widespread malware distribution platforms. The development highlights the layered nature of modern cyberattacks.","Emotet, Cobalt Strike, malware, ransomware deployment, lateral movement",Others,https://www.bleepingcomputer.com/news/security/emotet-starts-dropping-cobalt-strike-again-for-faster-attacks/,Cobalt Strike,Emotet starts dropping Cobalt Strike again for faster attacks,Malware
No,15/2/2023,"Havoc is a new, open-source command and control (C2) and post-exploitation framework increasingly adopted by threat actors as an alternative to commercial tools like Cobalt Strike and Brute Ratel. It enables attackers to execute commands, manage processes, download payloads, and manipulate Windows tokens on exploited devices, all managed via a web-based console. The framework features advanced evasion capabilities, bypassing Microsoft Defender on Windows 11 through techniques such as sleep obfuscation and indirect syscalls, and loading its ""Demon"" payload without standard headers while disabling Event Tracing for Windows (ETW). Havoc supports generating malicious agents in formats like Windows PE executables, DLLs, and shellcode. It has been observed in attacks, notably targeting an undisclosed government organization in early January, and has also been deployed via malicious npm packages","Havoc framework, Command and Control (C2), post-exploitation, Evasion techniques, Government organisation",Government,https://www.bleepingcomputer.com/news/security/hackers-start-using-havoc-post-exploitation-framework-in-attacks/,Havoc,Hackers start using Havoc post-exploitation framework in attacks,Others
No,15/2/2024,"A new Qbot malware variant uses a fake Adobe installer popup on Windows to trick users and evade detection, featuring enhanced obfuscation, advanced encryption, and checks for endpoint protection and virtual environments.","Qbot, Malware, Evasion, Adobe, Obfuscation",Others,https://www.bleepingcomputer.com/news/security/new-qbot-malware-variant-uses-fake-adobe-installer-popup-for-evasion/,Qbot,New Qbot malware variant uses fake Adobe installer popup for evasion,Malware
No,15/2/2024,"The RansomHouse ransomware operation has developed a new tool named MrAgent that automates the deployment of its data encrypter across multiple VMware ESXi hypervisors. This group operates as a ransomware-as-a-service (RaaS) and uses double extortion tactics. Trellix and Northwave researchers identified MrAgent, a binary designed to bypass firewalls and simultaneously encrypt all managed VMs. The tool receives custom configurations from its command-and-control (C2) serversuch as setting hypervisor passwords, scheduling encryption, and modifying the welcome message to display a ransom notice. MrAgent can also delete files, drop SSH sessions, gather VM information, and a Windows version exists using 
PowerShelldemonstrating cross-platform capability aimed at maximizing impact.","RansomHouse, MrAgent, VMware ESXi, double extortion, C2 configurations","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/ransomhouse-gang-automates-vmware-esxi-attacks-with-new-mragent-tool/?&web_view=true,RansomHouse,RansomHouse gang automates VMware ESXi attacks with new MrAgent tool,Ransomware
No,15/3/2021,"A recently patched set of vulnerabilities in on-premises versions of Microsoft Exchange Server has been actively exploited for over two months, initially by a Chinese stateâ€“sponsored actor and now by the ransomware variant called DearCry.","DearCry, Exchange vulnerabilities, ProxyLogon, WannaCry, CVE-2021-26855/27065",Others,https://news.sophos.com/en-us/2021/03/15/dearcry-ransomware-attacks-exploit-exchange-server-vulnerabilities/,Dearcry,DearCry ransomware attacks exploit Exchange server vulnerabilities,Ransomware
No,15/3/2025,"Security researcher Yohanes Nugroho released a decryptor for the Linux variant of Akira ransomware that uses GPU power to retrieve decryption keys. The tool brute-forces keys by exploiting Akira's timestamp-based encryption method, which seeds key generation using nanosecond-precision timestamps. The project took three weeks and approximately US $1,200 in GPU costs to complete. Nugroho used cloud GPUsspecifically sixteen RTX 4090sto crack the decryption key in around 10 hours. The decryptor is now publicly available on GitHub, with usage instructions, but users are cautioned about potential risks when using it.",Akira; GPU-powered decryptor; brute-force; timestamp-based key generation; GitHub,Others,https://www.bleepingcomputer.com/news/security/gpu-powered-akira-ransomware-decryptor-released-on-github/,Akira,New Akira ransomware decryptor cracks encryptions keys using GPUs,Ransomware
No,15/4/2024,"A Steam game called PirateFi was discovered delivering password-stealing malware to players. Upon installation, the game executed hidden components designed to extract sensitive data. The malware attempted to harvest credentials and potentially financial information from infected systems. Valve has since removed the game from Steamâ€™s platform. The case highlights how official distribution channels can be abused for malware propagation.","Steam, PirateFi, password-stealer, gaming malware, credentials","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/piratefi-game-on-steam-caught-installing-password-stealing-malware/,Vidar,PirateFi Game on Steam Caught Installing Password-Stealing Malware,Malware
No,15/4/2024,"The TA558 group launched a campaign named SteganoAmor,â€ using steganography to hide malicious payloads inside image files. Over 320 organizations were targeted globally, especially in hospitality and tourism. The attacks start with emails containing Office documents exploiting CVE-2017-11882, downloading a VBS script. This script fetches a JPG carrying a Base64-encoded payload. Various malware familiesAgentTesla, FormBook, and othersare then deployed from that payload.",TA558; SteganoAmor; steganography; CVE-2017-11882; AgentTesla,Healthcare Services,https://www.bleepingcomputer.com/news/security/new-steganoamor-attacks-use-steganography-to-target-320-orgs-globally/?utm_source=chatgpt.com,TA558,New SteganoAmor attacks use steganography to target 320 orgs globally,Malware
No,15/4/2024,The US government warned about Daixin Team ransomware campaigns. Healthcare organizations remain prime targets. The group uses sophisticated intrusion tactics. Authorities recommend enhancing cyber hygiene. Daixin exemplifies the persistent ransomware threat.,Daixin;Ransomware;Healthcare;Warning;US Govt,Healthcare Services,https://www.bleepingcomputer.com/news/security/daixin-ransomware-gang-claims-attack-on-omni-hotels/,Daixin,Daixin Ransomware Gang Claims Attack On Omni Hotels,Ransomware
No,15/6/2022,"Attackers exploited unpatched, three-year-old vulnerabilities in Telerik UI to deploy Cobalt Strike beacons. The flaws allowed remote code execution, enabling adversaries to gain persistence within targeted networks. Once installed, Cobalt Strike provided capabilities for lateral movement, credential theft, and staging ransomware. The campaign underscores the risks of failing to patch long-known vulnerabilities. It also demonstrates how attackers weaponize legitimate penetration testing tools for malicious purposes.","Telerik vulnerabilities, Cobalt Strike, exploitation, lateral movement, ransomware",Others,https://www.bleepingcomputer.com/news/security/hackers-exploit-three-year-old-telerik-flaws-to-deploy-cobalt-strike/,Cobalt Strike,Hackers exploit three-year-old Telerik flaws to deploy Cobalt Strike,Others
No,15/7/2019,"Security researchers discovered a new ransomware called DoppelPaymer, active since at least mid-June 2019, demanding ransoms worth hundreds of thousands of dollars. It shares much of its code with the BitPaymer ransomware but uses a different encryption scheme: 2048-bit RSA with 256-bit AES. At least eight variants have been identified, with three confirmed victims including the City of Edcouch, Texas, and Chile's Ministry of Agriculture. The ransom amounts range from approximately 2 to 100 BTC. DoppelPaymer features parallel extortion infrastructure that resembles BitPaymer's portals, including Tor payment pages labeled ""Bit paymer.""",DoppelPaymer; BitPaymer code; public service sector; ransomware variant; high-value ransom,Others,https://www.bleepingcomputer.com/news/security/new-doppelpaymer-ransomware-emerges-from-bitpaymers-code/,BitPaymer,New DoppelPaymer Ransomware Emerges from BitPaymer's Code,Ransomware
No,15/7/2024,"MuddyWater (an Iranian-backed APT) has deployed a new custom malware implant dubbed BugSleep, discovered by Check Point Research. This implant is pushed via phishing emails disguised as webinar or course invitations and hosted on Egnyte. Some variants include loaders to inject into popular applications like Edge, Chrome, AnyDesk, OneDrive, PowerShell, and Opera. The rapid updates between samples suggest an iterative, trial-and-error development approach. BugSleep signals MuddyWater moving away from legitimate RMM tools toward bespoke implants targeting diverse global sectors including Israel, Turkey, Saudi Arabia, India, and Portugal.","BugSleep, MuddyWater, backdoor, phishing, Egnyte",Government,https://www.bleepingcomputer.com/news/security/new-bugsleep-malware-implant-deployed-in-muddywater-attacks/,MuddyWater,New BugSleep malware implant deployed in MuddyWater attacks,Malware
No,15/7/2024,SEXi ransomware rebranded as APT Inc while continuing VMware ESXi attacks. The group adapts branding to evade detection. It highlights the trend of ransomware targeting virtualization platforms. VMware ESXi remains a high-value target. Security teams must harden hypervisor environments.,SEXi;APT Inc;Ransomware;VMware;Rebrand,Others,https://www.bleepingcomputer.com/news/security/sexi-ransomware-rebrands-to-apt-inc-continues-vmware-esxi-attacks/,SEXi,Sexi Ransomware Rebrands To Apt Inc Continues Vmware Esxi Attacks,Ransomware
No,15/8/2024,"The RansomHub ransomware operators have developed a new malware tool to disable Endpoint Detection and Response (EDR) security software using a Bring Your Own Vulnerable Driver (BYOVD) attack technique. Dubbed EDRKillShifter, the tool was discovered by Sophos during a ransomware investigation in May 2024, where it deploys a legitimate but vulnerable driver to escalate privileges. Once deployed, it can shut down security defenses, giving attackers control over the compromised system. This technique of using vulnerable drivers is already common among various threat actors, including ransomware gangs and state-sponsored groups. The deployment underscores growing sophistication in malware targeting cybersecurity infrastructure itself.","RansomHub, EDRKillShifter, BYOVD, vulnerable driver, EDR disabling","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/ransomware-gang-deploys-new-malware-to-kill-security-software//,RansomHub,Ransomware gang deploys new malware to kill security software,Malware
No,16/10/2019,"Attackers used WAV audio files to hide and deliver backdoors and Monero cryptominers, as discovered by Cylance researchers. This techniqueembedding payloads in WAV files using LSB steganography or rand-based decodingconstructs a loader that decodes and executes hidden PE files or shellcode when run. WAV files appeared benigneither containing normal audio or staticmaking detection challenging. Payloads included Metasploit Meterpreter backdoors and XMRig miners to enable both remote access and cryptojacking. The strategy introduces obfuscation since code appears only in memory during execution.","WAV steganography, backdoor delivery, XMRig, Metasploit, LSB",Others,https://www.bleepingcomputer.com/news/security/attackers-hide-backdoors-and-cryptominers-in-wav-audio-files/,Metasploit,Attackers hide backdoors and cryptominers in WAV audio files,Malware
No,16/10/2019,"Attackers used WAV audio files to hide and deliver backdoors and Monero cryptominers, as discovered by Cylance researchers. This techniqueembedding payloads in WAV files using LSB steganography or rand-based decodingconstructs a loader that decodes and executes hidden PE files or shellcode when run. WAV files appeared benigneither containing normal audio or staticmaking detection challenging. Payloads included Metasploit Meterpreter backdoors and XMRig miners to enable both remote access and cryptojacking. The strategy introduces obfuscation since code appears only in memory during execution.","WAV steganography, backdoor delivery, XMRig, Metasploit, LSB",Others,https://www.bleepingcomputer.com/news/security/hackers-target-microsoft-sql-servers-in-mimic-ransomware-attacks/,Mimic,Attackers hide backdoors and cryptominers in WAV audio files,Malware
No,16/12/2024,"The state of Rhode Island confirmed a data breach following a Brain Cipher ransomware attack. The incident resulted in unauthorized access and theft of sensitive data from government systems. Brain Cipher, a LockBit-based ransomware variant, has been responsible for multiple high-profile attacks. State officials are investigating the scope of compromised information and working with federal partners to mitigate the impact. This breach highlights the increasing risk of ransomware targeting state and local governments.","Brain Cipher, ransomware, Rhode Island, data breach, government systems",Government,https://www.bleepingcomputer.com/news/security/rhode-island-confirms-data-breach-after-brain-cipher-ransomware-attack/,BrainCipher,Rhode Island confirms data breach after Brain Cipher ransomware attack,Ransomware
No,16/2/2016,"Locky is a new ransomware variant that encrypts files on local drives and unmapped network shares. It is distributed through emails with a malicious Word document that contains a macro. Once executed, it renames files with a .locky extension and demands a ransom of 0.5 to 1.0 Bitcoin for decryption. The ransomware uses strong RSA-2048 and AES-128 encryption, making it difficult to decrypt without the proper key.","Locky ransomware, malware, encryption, network shares, macro virus","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/the-locky-ransomware-encrypts-local-files-and-unmapped-network-shares/,Locky,The Locky Ransomware Encrypts Local Files and Unmapped Network Shares,Ransomware
No,16/2/2024,"In a court-ordered operation authorized in late January 2024, the U.S. Department of Justice disrupted a botnet controlled by the Russian state-linked threat group Forest Blizzard. The botnet, utilizing Moobot malware, had infected hundreds of Ubiquiti Edge OS routers still using default passwords, enabling spear phishing and credential harvesting attacks against U.S. targets. The FBI operation involved disabling remote access, copying and deleting stolen data, and notifying affected users through local internet service providers. This action marks the second U.S. disruption of a botnet since January, following the disruption of the KV Botnet linked to Volt Typhoon, a threat group associated with China.","Forest Blizzard, Moobot Malware, Botnet disruption, Credential harvesting, Small office / Home office security","Information, Communication And Digital",https://www.cybersecuritydive.com/news/fbi-disrupts-botnet-forest-blizzard/707788/,Forest Blizzard,FBI-led operation disrupts botnet controlled by state-linked Forest Blizzard,Botnet
No,16/4/2024,"TA558 has weaponized steganography in a wide-scale campaign delivering malware such as AgentTesla, FormBook, Remcos RAT, LokiBot, GuLoader, Snake Keylogger, and XWorm. The campaign, dubbed SteganoAmor,â€ uses VBS, PowerShell, and RTF files embedding exploits through images and text files. Victims span industrial, public services, electric power, and construction sectorsmainly in Latin America, Russia, Romania, and Turkey. Phishing emails originate from compromised SMTP servers to evade detection, and stolen data is staged via infected FTP servers. The attacks also include phishing campaigns distributing Venom RAT.",TA558; SteganoAmor; steganography; Remcos RAT; Venom RAT,Energy,https://thehackernews.com/2024/04/ta558-hackers-weaponize-images-for-wide.html?utm_source=chatgpt.com,TA559,TA558 Hackers Weaponize Images for Wide-Scale Malware Attacks,Malware
No,16/4/2025,"Scammers use email spoofing to send emails from a victimâ€™s own address, claiming to have a video of them and threatening to release it to contacts unless a ransom is paid in Bitcoin. The article states this is an empty threat.","Sextortion scam, email spoofing, njrat, Bitcoin, remote access trojan",Others,https://www.malwarebytes.com/blog/news/2025/04/i-sent-you-an-email-from-your-email-account-sextortion-scam-claims,NJRat,"I sent you an email from your email account,â€ sextortion scam claims",Others
No,16/4/2025,"The Rhysida ransomware group claims to have hacked the Oregon Department of Environmental Quality (DEQ) and stolen 2.5 Tb of data, despite the agency's denial of a breach. The attack, which occurred on April 9, 2025, disrupted various services, including email and help desk operations. The group is demanding a 30 bitcoin ransom and is threatening to auction the stolen files. The DEQ's investigation has not yet confirmed the breach, though it has stated that its main environmental data system was not affected","Rhysida, Ransomware, Oregon, DEQ, Data Breach",Others,https://www.securityweek.com/ransomware-group-claims-hacking-of-oregon-regulator-after-data-breach-denial/,Rhysida,Ransomware Group Claims Hacking of Oregon Regulator After Data Breach Denial,Ransomware
No,17/1/2024,"A subgroup of Iranian state-sponsored APT35 (also known as Charming Kitten and Phosphorus) targeted high-profile researchers and academics in Europe and the U.S. using bespoke phishing emails sent from legitimate but compromised accounts. Since November 2023, Microsoft observed this Mint Sandstorm subset using new tradecraft including a custom backdoor dubbed MediaPl. MediaPl masquerades as Windows Media Player and uses AES-CBC encryption with Base64 encoding to communicate with its C2 server, supporting auto-termination and _popen-based command execution. Additionally, a PowerShell-based backdoor, MischiefTut, was used to conduct reconnaissance and deploy further malicious tools. The campaign reflects a patient, highly social-engineering focused operation targeting individuals involved in policy and security arenas.","APT35, MediaPl, MischiefTut, phishing, cyberespionage","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/microsoft-iranian-hackers-target-researchers-with-new-mediapl-malware/,Mint Sandstorm,Microsoft: Iranian hackers target researchers with new MediaPl malware,Others
No,17/1/2024,"Since November 2023, a technically mature subgroup of Iran-affiliated Mint Sandstorm (PHOSPHORUS/APT35) targeted academics and policy researchers via personalized phishing lures from compromised accounts. New tactics observed include the use of curl to reach C2 infrastructure, deployment of a bespoke backdoor called MediaPl, and creation of persistence via scheduled tasks or registry modifications. The campaign involved sending benign initial emails impersonating journalists, followed by malicious RAR attachments hosted on cloud-render or GitHub-controlled domains. MediaPl masquerades as Windows Media Player and communicates via AES-CBC and Base64-encrypted channels, while MischiefTut enables reconnaissance and additional payload delivery. Microsoft provided defense guidance and detections to help organizations harden against this advanced tradecraft.","Mint Sandstorm, MediaPl, phishing lures, persistence, custom TTPs","Information, Communication And Digital",https://www.microsoft.com/en-us/security/blog/2024/01/17/new-ttps-observed-in-mint-sandstorm-campaign-targeting-high-profile-individuals-at-universities-and-research-orgs/,Mint Sandstorm,New TTPs observed in Mint Sandstorm campaign targeting high-profile individuals at universities and research orgs,Others
No,17/12/2021,"The Phorpiex botnet hijacked roughly 3,000 cryptocurrency transactions over five years using a crypto-clipper that replaced wallet addresses, stealing hundreds of thousands of dollars across multiple blockchains.","Phorpiex, Cryptocurrency, Hijacking, Botnet, Clipper",Banking And Finance,https://www.securityweek.com/phorpiex-botnet-hijacked-3000-cryptocurrency-transactions/,Phorpiex,"Phorpiex Botnet Hijacked 3,000 Cryptocurrency Transactions",Others
No,17/3/2025,"Security researchers have established a direct connection between BlackLock and the Eldorado ransomware group, confirming that BlackLock is effectively a rebrand of Eldorado.","BlackLock, Eldorado, rebrand, RaaS, evolution","Information, Communication And Digital",https://www.infosecurity-magazine.com/news/researchers-confirm-blacklock/,eldorado,Researchers Confirm BlackLock as Eldorado Rebrand,Ransomware
No,17/4/2024,"A new campaign exploited CVE-2023-48788, a critical SQL injection in Fortinet FortiClient EMS, to deploy ScreenConnect and Metasploit Powerfun payloads against a media company. The campaign, tracked by Forescout as Connect:fun,â€ used certutil and msiexec to download and install tools. Attackers leveraged a publicly released PoC exploit and began activity shortly after its publication. Language usage (Vietnamese and German) suggests specific targeting, with evidence of manual operations rather than bot-driven mass scanning. Organizations are advised to apply Fortinet patches, monitor suspicious traffic, and deploy WAFs.","CVE-2023-48788, ScreenConnect, Metasploit Powerfun, SQL injection, Connect:fun","Information, Communication And Digital",https://thehackernews.com/2024/04/hackers-exploit-fortinet-flaw-deploy.html,Metasploit,"Hackers exploit Fortinet flaw, deploy ScreenConnect, Metasploit in new campaign",Others
No,17/4/2024,"A new campaign exploited CVE-2023-48788, a critical SQL injection in Fortinet FortiClient EMS, to deploy ScreenConnect and Metasploit Powerfun payloads against a media company. The campaign, tracked by Forescout as Connect:fun,â€ used certutil and msiexec to download and install tools. Attackers leveraged a publicly released PoC exploit and began activity shortly after its publication. Language usage (Vietnamese and German) suggests specific targeting, with evidence of manual operations rather than bot-driven mass scanning. Organizations are advised to apply Fortinet patches, monitor suspicious traffic, and deploy WAFs.","CVE-2023-48788, ScreenConnect, Metasploit Powerfun, SQL injection, Connect:fun","Information, Communication And Digital",https://www.trendmicro.com/en_us/research/23/a/new-mimic-ransomware-abuses-everything-apis-for-its-encryption-p.html,Mimic,"Hackers exploit Fortinet flaw, deploy ScreenConnect, Metasploit in new campaign",Others
No,17/4/2025,"Food retail giant Ahold Delhaize confirmed that data was stolen from its U.S. business systems during a November 2024 cyberattack. The INC Ransom group claimed responsibility, adding Ahold Delhaize to its data leak extortion site on the dark web and including samples of allegedly stolen documents. Ahold Delhaize, a multinational retail and wholesale company operating brands such as Food Lion and Stop & Shop, had previously taken IT systems offline due to a cybersecurity incident. While the company confirmed a data breach, it did not explicitly comment on whether ransomware was involved in the attack, noting the investigation is ongoing. INC Ransom has recently focused its attacks on U.S.-based organisations, including healthcare providers and the State Bar of Texas","Ahold Delhaize, Data Breach, Extortion, Food Lion, INC ransom, ransomware, stop & Shop",Others,https://www.bleepingcomputer.com/news/security/ahold-delhaize-confirms-data-theft-after-inc-ransomware-claims-attack/,Incransom,Ahold Delhaize confirms data theft after INC ransomware claims attack,Ransomware
